GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco,com.coverage.jacoco,MathService,12,11,4,2,4,4,3,2,0,2
jacoco,com.coverage.jacoco,JacocoApplication,5,3,0,0,2,1,1,1,1,1
